"Gene_name"	"GO_terms"
"plxnb1"	"GO:0071526, GO:0017154, GO:0007165, GO:0005515, GO:0016020, GO:0016021, GO:0005887, GO:0030334, GO:0008360, GO:0043087, GO:0050772, GO:0007162, GO:1902287, GO:0002116"
"sat2"	"GO:0008080, GO:0004145, GO:0019809, GO:0032918"
"sesn3"	"GO:1901031, GO:0005634, GO:0005737, GO:0055114, GO:0061700, GO:1904262, GO:0031932, GO:0016684, GO:0070728, GO:0016239, GO:0071230, GO:0071233, GO:1990253, GO:0007626"
"tamm41"	"GO:0032049, GO:0004605, GO:0016020, GO:0016740, GO:0005739, GO:0016779, GO:0005743, GO:0006629, GO:0008654, GO:0016024"
"tor2a"	"GO:0005783, GO:0051085, GO:0005524, GO:0000166, GO:0005788"
"scube2"	"GO:0005509, GO:0009986, GO:0005615"
"manba"	"GO:0005975, GO:0004553, GO:0005764, GO:0004567, GO:0006516, GO:0046355"
"wnt9b"	"GO:0016055, GO:0007275, GO:0005102, GO:0005576, GO:0005109, GO:0030182, GO:0045165, GO:0005615"
"bola1"	""
"syn2"	"GO:0008021, GO:0007269, GO:0005524, GO:0030672"
