"Gene_name"	"GO_terms"
"nr2f5"	"GO:0003707, GO:0043565, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0008270, GO:0046872, GO:0043401, GO:0032526"
"myh2"	"GO:0016459, GO:0003774, GO:0005524, GO:0005515, GO:0000166, GO:0003779, GO:0051015, GO:0016459, GO:0003774, GO:0005524, GO:0005515, GO:0000166, GO:0003779"
"mast3"	"GO:0005524, GO:0004674, GO:0004672, GO:0006468, GO:0000287, GO:0005515, GO:0016740, GO:0000166, GO:0016301, GO:0016310, GO:0035556, GO:0018105, GO:0007010"
"bfar"	"GO:0005515, GO:0016020, GO:0016021, GO:0061630, GO:0016567, GO:0043161, GO:1903895"
"kdm7a"	"GO:0046872, GO:0005634, GO:0046872"
"hjv"	"GO:1990712, GO:0055072, GO:0030509, GO:0036122, GO:0015026, GO:0005886, GO:0030903, GO:0061053"
"hebp2"	"GO:0020037"
"hdac1"	"GO:0016575, GO:0004407, GO:0005634, GO:0016787, GO:0046872, GO:0006325, GO:0045944, GO:0032041, GO:0070932, GO:0070933, GO:0000118, GO:0001764, GO:0001889, GO:0002244, GO:0008285, GO:0009953, GO:0016055, GO:0021754, GO:0021903, GO:0030318, GO:0031017, GO:0031101, GO:0033687, GO:0048263, GO:0048565, GO:0048706, GO:0048709, GO:0048935, GO:0050673, GO:0050769, GO:0060028, GO:0060042, GO:0060218, GO:0070822"
"sult2b1"	"GO:0008146, GO:0016740"
"dnaaf5"	"GO:0005515, GO:0005737, GO:0045505, GO:0003341, GO:0036158, GO:0036159"
"txnip"	""
"gosr2"	"GO:0005794, GO:0005484, GO:0016192, GO:0016020, GO:0016021, GO:0042147, GO:0005829, GO:0015031, GO:0000149, GO:0005789, GO:0006888, GO:0031201, GO:0006623, GO:0006891, GO:0006896, GO:0048280, GO:0012507, GO:0031902"
"crtap"	"GO:0018400, GO:0005783, GO:0005515"
"yipf4"	""
"gp9"	"GO:0005515, GO:0005515"
"alpi.1"	"GO:0016791, GO:0003824, GO:0016787, GO:0016311, GO:0004035"
"dennd5a"	"GO:0005515"
"fam76b"	"GO:0016607"
"naga"	"GO:0005975, GO:0004553, GO:0003824, GO:0016787, GO:0005737, GO:0008152, GO:0016798, GO:0016139, GO:0004557, GO:0009311, GO:0046477"
"zmynd11"	"GO:0005515, GO:0046872, GO:0030514, GO:0005515, GO:0046872"
"srsf12"	"GO:0000381, GO:0003676, GO:0005634, GO:0003723, GO:0016607, GO:0000395, GO:0045292, GO:0000381, GO:0003676, GO:0005634, GO:0003723, GO:0016607, GO:0000395, GO:0045292"
"sec23b"	"GO:0090114, GO:0030127, GO:0006888, GO:0006886, GO:0008270, GO:0016020, GO:0046872, GO:0005737, GO:0043547, GO:0031410, GO:0015031, GO:0005829, GO:0005783, GO:0005789, GO:0000139, GO:0005096, GO:0016192, GO:0090110, GO:0070971, GO:0012507, GO:0048702, GO:0048821, GO:0051216"
"nfkb1"	"GO:0006357, GO:0003700, GO:0005737, GO:0006355, GO:0005634, GO:0003677, GO:0005515"
"slc17a9"	"GO:0005215, GO:0055085, GO:0016021, GO:0016020"
"tfb1m"	"GO:0006364, GO:0000154, GO:0008649, GO:0000179, GO:0003723, GO:0008168, GO:0016740, GO:0032259, GO:0031167"
"polr3gl"	"GO:0006383, GO:0003899, GO:0000790, GO:0005666, GO:0006383, GO:0003899, GO:0005634, GO:0000790, GO:0005666"
"ppm1l"	"GO:0004722, GO:0043169, GO:0006470, GO:0003824, GO:0004721, GO:0016787, GO:0046872, GO:0004724, GO:0007178"
"mocs2"	"GO:0005829, GO:0019008, GO:0030366, GO:0006777, GO:0016740, GO:0005737, GO:0032324"
"pm20d2"	"GO:0016787, GO:0006508, GO:0016805"
"cep57"	"GO:0034453, GO:0042802, GO:0043015, GO:0008017, GO:0005813"
"insm1"	""
"itga2"	"GO:0008305, GO:0007155, GO:0016020, GO:0016021, GO:0007229"
"kpna4"	"GO:0061608, GO:0006606, GO:0008565, GO:0005737, GO:0005634, GO:0005515, GO:0015031"
"zc3h7a"	"GO:0035198, GO:0046872, GO:0005515"
"pik3r2"	"GO:0005942, GO:0035014, GO:0007165, GO:0005515, GO:0046854, GO:0008286, GO:0046935, GO:0043551"
"ca11"	"GO:0004089, GO:0008270"
"slc37a3"	"GO:0022857, GO:0055085, GO:0016021, GO:0016020"
"ninj1"	"GO:0042246, GO:0007155, GO:0016021, GO:0016020"
"caap1"	"GO:0042981"
"mtmr2"	"GO:0004725, GO:0016311, GO:0035335"
"susd3"	"GO:0016020, GO:0016021"
"tlk2"	"GO:0005634, GO:0005524, GO:0004674, GO:0004672, GO:0006468, GO:0016740, GO:0000166, GO:0016301, GO:0016310, GO:0005634, GO:0005524, GO:0004674, GO:0004672, GO:0006468"
"elavl2"	"GO:0003723, GO:0003676, GO:0003723, GO:0003676"
"rab19"	"GO:0005525, GO:0003924"
"lrp6"	"GO:0060070, GO:0042813, GO:0017147, GO:0005515, GO:0016020, GO:0016021, GO:0005886, GO:0009986, GO:0007275, GO:0016055, GO:0045944, GO:0043025, GO:0007268, GO:0045202, GO:0005901, GO:0009952, GO:0046849, GO:0051091, GO:0060349, GO:0005041, GO:0021987, GO:0071936, GO:0001702, GO:0060444, GO:0030326, GO:0060325, GO:0009880, GO:0034185, GO:0001843, GO:0003344, GO:0014029, GO:0014033, GO:0021587, GO:0021794, GO:0030901, GO:0030917, GO:0035261, GO:0042475, GO:0048596, GO:0060021, GO:0060026, GO:0060059, GO:0060535, GO:0090009, GO:0090118, GO:0090244, GO:0090245"
"iglv5-48"	"GO:0005615, GO:0002377, GO:0006955"
"itga1"	"GO:0008305, GO:0007155, GO:0016020, GO:0016021, GO:0007229"
"marcksl1"	"GO:0005516"
"selenok"	"GO:0016020, GO:0016021, GO:0005794, GO:0005789, GO:0006816, GO:0032469"
"fgd3"	"GO:0035023, GO:0005089, GO:0046872"
"alpi.2"	"GO:0016791, GO:0003824, GO:0016787, GO:0016311, GO:0004035"
"clip4"	"GO:0005515"
"dop1b"	"GO:0006895, GO:0005768, GO:0005802, GO:0005829, GO:0006895, GO:0005768, GO:0005802, GO:0005829"
"bsdc1"	", "
"prmt9"	"GO:0008168, GO:0006479, GO:0016740, GO:0032259, GO:0005829, GO:0006355, GO:0008469, GO:0035242, GO:0034969, GO:0035241, GO:0019919, GO:0035247, GO:0008168, GO:0016740, GO:0032259, GO:0006479"
"ift172"	"GO:0005515, GO:0036064, GO:0030992, GO:0005930, GO:0032006, GO:0045494, GO:0048793, GO:0060041, GO:0060271"
"mkrn1"	"GO:0046872"
"ush1c"	"GO:0007605, GO:0051015, GO:0005515, GO:0005886, GO:0032391, GO:0001917, GO:0002141, GO:0002142, GO:0032420, GO:0032426, GO:0060122, GO:0046549, GO:0042472, GO:0042491, GO:0050953, GO:1904970, GO:0007605, GO:0051015, GO:0005515"
"dennd2a"	""
"zdhhc13"	"GO:0015095, GO:0016409, GO:0005515, GO:0016020, GO:0016021, GO:0016740, GO:0016746, GO:0019706, GO:1903830, GO:0030510, GO:0042665, GO:0060803"
"slc39a8"	"GO:0030001, GO:0046873, GO:0055085, GO:0016020, GO:0016021, GO:0005887, GO:0005385, GO:0006882, GO:0071578"
"dmrta1"	"GO:0043565, GO:0003700, GO:0006355, GO:0005634, GO:0005515, GO:0003677, GO:0046872"
"tmem184c"	"GO:0016020, GO:0016021"
"cdkn2b"	"GO:0005515"
"eif5"	"GO:0006413, GO:0003743"
"mtap"	"GO:0009116, GO:0017061, GO:0003824, GO:0005634, GO:0016740, GO:0005737, GO:0005829, GO:0016757, GO:0006166, GO:0019509"
"bank1"	""
"mark3"	"GO:0030010, GO:0000226, GO:0005524, GO:0004674, GO:0004672, GO:0006468, GO:0016740, GO:0000166, GO:0016301, GO:0016310, GO:0005886, GO:0005737, GO:0035556, GO:0050321"
"myh1"	"GO:0016459, GO:0003774, GO:0005524, GO:0005515, GO:0000166, GO:0003779, GO:0016459, GO:0003774, GO:0005524, GO:0005515, GO:0000166, GO:0003779"
"vipr2"	"GO:0007166, GO:0004999, GO:0004888, GO:0016020, GO:0016021, GO:0007186, GO:0004930, GO:0008528, GO:0007165, GO:0017046, GO:0007188"
"ppp3ca"	"GO:0016787, GO:0004721, GO:0006470, GO:0005737, GO:0005829, GO:0005516, GO:0033192, GO:0097720, GO:0005955, GO:0033173"
"cbr1"	"GO:0016491, GO:0055114, GO:0004090"
"pcare"	", GO:0001750, GO:1903546, GO:0001917, GO:0035845"
"bcl2l14"	"GO:0042981"
"tle1"	"GO:0006355, GO:0005634, GO:0005515, GO:0003714, GO:0005667, GO:1903507, GO:0090090, GO:0070491, GO:0006355, GO:0005634, GO:0005515, GO:0003714, GO:0005667, GO:1903507, GO:0090090, GO:0070491"
"ifi30"	", "
"sel1l"	"GO:0005515, GO:0016020, GO:0016021"
"dusp12"	"GO:0004725, GO:0016791, GO:0006470, GO:0016311, GO:0008138, GO:0016787, GO:0035335, GO:0033133"
"txndc11"	"GO:0045454, GO:0016020, GO:0016021, GO:0005623"
"etv6"	"GO:0043565, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0006357, GO:0000981, GO:0030154"
"spdya"	""
"bicd2"	"GO:0070840, GO:0008093"
"klf4"	"GO:0003676, GO:0005634, GO:0006357, GO:0000981"
"sod2"	"GO:0006801, GO:0004784, GO:0046872, GO:0055114, GO:0016491, GO:0005739, GO:0030145, GO:0001780, GO:0019430, GO:0045087, GO:0046686, GO:0051597"
"adck2"	"GO:0016020, GO:0016021, GO:0016020, GO:0016021, GO:0016020, GO:0016021"
"sars2"	"GO:0006434, GO:0004828, GO:0006418, GO:0004812, GO:0000166, GO:0005524, GO:0005737"
"ppp1cb"	"GO:0000164, GO:0072357, GO:0004722, GO:0016787, GO:0006470"
"setd4"	"GO:0005515, GO:0016279, GO:0018026, GO:0018023"
"ednra"	"GO:0048484, GO:0042310, GO:0008217, GO:0004962, GO:0016021, GO:0007186, GO:0004930, GO:0016020, GO:0007165, GO:0086100"
"dis3l2"	"GO:0004540, GO:0034427, GO:0000175, GO:0003723, GO:0016787, GO:0046872, GO:0004518, GO:0004527, GO:0000291, GO:0007049, GO:0010587, GO:0048793, GO:0051301, GO:0090305, GO:0090501, GO:0090503, GO:1990074, GO:0000932, GO:0005737"
"mrps15"	"GO:0005840, GO:0006412, GO:0003735, GO:0005622"
"mpv17l2"	"GO:0016021, GO:0016020, GO:0005737, GO:0005739, GO:0005743, GO:0061668"
"ndufb2"	"GO:0005747, GO:0005743"
"wtap"	"GO:0080009, GO:0000381, GO:0005634, GO:0042981"
"rad23b"	"GO:0003684, GO:0043161, GO:0006289, GO:0005634, GO:0005515, GO:0005829, GO:0043130, GO:0005654, GO:0031593, GO:0070628, GO:0000502, GO:0003684, GO:0043161, GO:0006289, GO:0005634, GO:0005515, GO:0005829, GO:0043130, GO:0005654, GO:0031593, GO:0070628, GO:0000502"
"csrp3"	"GO:0046872, GO:0045214, GO:0060047"
"oscp1"	", "
"rab3a"	"GO:0005525, GO:0003924, GO:0005768, GO:0072659, GO:0005886, GO:0006886, GO:0006904, GO:0009306, GO:0017157, GO:0032482, GO:0008021, GO:0030424, GO:0007409, GO:0031982, GO:0031630, GO:0048790, GO:0098993"
"snn"	"GO:0005741, GO:0016021, GO:0016020"
"litaf"	"GO:0016020, GO:0003677, GO:0005634, GO:0046872, GO:0005737, GO:0005886, GO:0005794, GO:0005768, GO:0010008, GO:0031901, GO:0000139, GO:0008270, GO:0005764, GO:0005765, GO:0031902, GO:0009898, GO:0098559, GO:0098560, GO:0098574"
"dtd1"	"GO:0051499, GO:0002161, GO:0005737, GO:0016787, GO:0000049, GO:0003723, GO:0051500, GO:0106026, GO:0006399, GO:0106074"
"ttc29"	"GO:0005515"
"ckb"	"GO:0016772, GO:0016301, GO:0003824, GO:0016740, GO:0000166, GO:0005524, GO:0016310"
"parp12"	"GO:0003950, GO:0046872, GO:0003950, GO:0046872, GO:0016020, GO:0016021"
"plb1"	"GO:0016788, GO:0016020, GO:0016021, GO:0006644, GO:0004622, GO:0004620, GO:0042572, GO:0004623, GO:0050253, GO:0031526"
"isl1"	"GO:0046872, GO:0005634, GO:0045944, GO:0000981, GO:0007409, GO:0048665, GO:0003322, GO:0003323, GO:0003324, GO:0008016, GO:0021522, GO:0021527, GO:0031017, GO:0031018, GO:0048666, GO:0048675, GO:0048936, GO:0055011, GO:0097154"
"acat2"	"GO:0016747, GO:0003824, GO:0016740, GO:0016746, GO:0005739, GO:0006635, GO:0003988, GO:0003985"
"runx1"	"GO:0003700, GO:0006355, GO:0005634, GO:0005524, GO:0003677, GO:0030182, GO:0045893, GO:0000981, GO:0006357, GO:0043565, GO:0001568, GO:0002573, GO:0007399, GO:0010628, GO:0030097, GO:0030099, GO:0030223, GO:0035162, GO:0045637, GO:0045658, GO:0045660, GO:0060216, GO:0098508"
"cops7b"	"GO:0008180, GO:0010387"
"gtf2a1"	"GO:0036465, GO:0006897, GO:0030100, GO:0005672, GO:0006367, GO:0016020, GO:0006366, GO:0098793, GO:0005672, GO:0006367, GO:0006366"
"e2f8"	"GO:0005667, GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0007049, GO:0043565, GO:0000122, GO:0045944, GO:0000981, GO:0008134, GO:0090575, GO:0051726, GO:0003714, GO:0002040, GO:0032466, GO:0032877, GO:0060718, GO:0070365, GO:0001946, GO:0008045, GO:0033301, GO:0045892"
"rragc"	"GO:0005525, GO:0005634, GO:0003924, GO:0005764, GO:0034448, GO:0071230, GO:0010506, GO:0009267, GO:0032008, GO:1990131"
"unc5b"	"GO:0038007, GO:0005042, GO:0007165, GO:0016021, GO:0005515, GO:0016020, GO:0001569, GO:0016525, GO:0048514"
"mettl2b"	"GO:0008168, GO:0016740, GO:0032259"
"pou4f2"	"GO:0043565, GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0007420, GO:0007507"
"mrps12"	"GO:0015935, GO:0005840, GO:0006412, GO:0003735"
"slc24a3"	"GO:0008273, GO:0005886, GO:0055085, GO:0006811, GO:0016021, GO:0016020, GO:0005887, GO:0070588, GO:0006874, GO:0005262, GO:0035725"
"gk5"	"GO:0005975, GO:0016773, GO:0016740, GO:0016301, GO:0016310, GO:0005737, GO:0005739, GO:0004370, GO:0006071, GO:0006641, GO:0046167"
"rmi2"	"GO:0006281, GO:2000042, GO:0033045"
"smc4"	"GO:0005694, GO:0051276, GO:0005524, GO:0005515, GO:0005634"
"pde4c"	"GO:0008081, GO:0004114, GO:0007165, GO:0016787, GO:0046872, GO:0005515, GO:0004115"
"wdr60"	"GO:0005515, GO:0007018, GO:0008574, GO:0030286, GO:0005929, GO:0045503, GO:0045504, GO:0005515"
"socs1"	"GO:0060334, GO:0046426, GO:0035556, GO:0005737, GO:0046854, GO:0016567, GO:0046627, GO:0005942, GO:0046935, GO:0043551, GO:0032868, GO:0035162, GO:0042509, GO:0051896, GO:0060042, GO:0060336, GO:2000406"
"stk40"	"GO:0005524, GO:0004672, GO:0006468"
"slc10a7"	"GO:0016020, GO:0016021, GO:0006811, GO:0005886, GO:0005783, GO:0005789, GO:0055085, GO:0015293, GO:0006814, GO:0030282, GO:0051216"
"acp7"	"GO:0003993, GO:0016787, GO:0046872, GO:0016311"
"stt3b"	"GO:0006486, GO:0004576, GO:0016020, GO:0016021, GO:0018279, GO:0004579, GO:0008250, GO:0043687, GO:0006486, GO:0004576, GO:0016020, GO:0016021"
"fosl2"	"GO:0006357, GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0000978"
"fancm"	"GO:0043140, GO:0016787, GO:0006281, GO:0005524, GO:0003677, GO:0032508"
"pde6d"	"GO:0050953, GO:0004114, GO:0016020, GO:0005737, GO:0005856, GO:0030659, GO:0031410, GO:0005829, GO:0050896, GO:0007601, GO:0001654, GO:0001822"
"tle4"	"GO:0006355, GO:0005634, GO:0005515, GO:0003714, GO:0005667, GO:1903507, GO:0090090, GO:0070491, GO:0006355, GO:0005634, GO:0005515, GO:0003714, GO:0005667, GO:1903507, GO:0090090, GO:0070491"
"adh1c"	"GO:0016491, GO:0055114, GO:0008270, GO:0046872, GO:0005829, GO:0004745, GO:0042572, GO:0004024, GO:0006069, GO:0042573, GO:0016491, GO:0055114, GO:0008270, GO:0046872, GO:0005829, GO:0004745, GO:0042572, GO:0004024, GO:0006069, GO:0042573"
"tfdp2"	"GO:0000278, GO:0008134, GO:0003712, GO:0051726, GO:0005667, GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0000981, GO:0006357"
"lsm6"	"GO:0005732, GO:0000398, GO:0005634, GO:0003723, GO:0006397, GO:0000932, GO:0008380, GO:0005681, GO:0005730, GO:0030490, GO:0005688, GO:0046540"
"rgs18"	"GO:0005096, GO:0007186, GO:0043547"
"atp10b"	"GO:0004012, GO:0000166, GO:0015914, GO:0005524, GO:0000287, GO:0016021, GO:0016020, GO:0005886, GO:0045332"
"pak4"	"GO:0005524, GO:0004674, GO:0004672, GO:0006468, GO:0016740, GO:0000166, GO:0016301, GO:0016310, GO:0005737, GO:0016477, GO:0048365, GO:0002573, GO:0023014, GO:0031098, GO:0032147, GO:0043408, GO:0048598"
"ptma"	""
"mycbp"	"GO:0006355, GO:0003713, GO:1903508, GO:0045880"
"trmt61a"	"GO:0031515, GO:0030488, GO:0016429, GO:0005634, GO:0008168, GO:0016740, GO:0008033, GO:0032259"
"setd5"	"GO:0005515"
"parp8"	"GO:0003950, GO:0016740, GO:0016757, GO:0006471"
"fkbp3"	"GO:0003755, GO:0016853, GO:0000413"
"itgb3"	"GO:0070527, GO:0007229, GO:0005178, GO:0008305, GO:0007155, GO:0016020, GO:0016021, GO:0009986, GO:0016477, GO:0005925, GO:0001968, GO:0007160, GO:0070051, GO:0033627"
"esyt2"	"GO:0061817, GO:0006869, GO:0008289, GO:0016020, GO:0016021, GO:0005544, GO:0005509, GO:0035091, GO:0031227, GO:0031234, GO:0031210, GO:0008429, GO:0061817, GO:0006869, GO:0008289, GO:0016020, GO:0016021, GO:0005544, GO:0005509, GO:0035091, GO:0031227, GO:0031234, GO:0031210, GO:0008429"
"znf827"	"GO:0003676, GO:0005634, GO:0010468, GO:0035097, GO:0000979"
"babam2"	"GO:0070552, GO:0070531, GO:0070552, GO:0070531"
"rhbdl2"	"GO:0006508, GO:0004252, GO:0016021, GO:0016020, GO:0016787, GO:0008233, GO:0006508, GO:0004252, GO:0016021, GO:0016020, GO:0016787, GO:0008233"
"zfp64"	"GO:0003676, GO:0005634, GO:0010468, GO:0035097, GO:0000979"
"bag5"	"GO:0051087"
"igf2r"	"GO:0007041, GO:0051219, GO:0038023, GO:0016020, GO:0016021, GO:0005886, GO:0005769, GO:0030140, GO:0005802, GO:0030136, GO:0006892, GO:0043065, GO:0031995, GO:0030139, GO:0048471, GO:0032526, GO:0001965, GO:0005537, GO:0005770, GO:0001972, GO:0005520, GO:0036143, GO:0005641, GO:0007041, GO:0051219, GO:0038023, GO:0005886, GO:0005769, GO:0030140, GO:0005802, GO:0030136, GO:0006892, GO:0043065, GO:0031995, GO:0030139, GO:0048471, GO:0032526, GO:0001965, GO:0005537, GO:0005770, GO:0001972, GO:0005520, GO:0036143, GO:0005641"
"tshr"	"GO:0004996, GO:0016500, GO:0016021, GO:0007186, GO:0004930, GO:0016020, GO:0008528, GO:0007189, GO:0007190, GO:0009755, GO:0005887, GO:0005886, GO:0007165, GO:0001501, GO:0038194"
"nmur1"	"GO:0001607, GO:0016021, GO:0007186, GO:0004930, GO:0016020, GO:0007165, GO:0007218"
"klc1"	"GO:0005871, GO:0097193, GO:0003777, GO:0005515, GO:0005871, GO:0003777, GO:0005515, GO:0005515"
"ncl"	"GO:0003676, GO:0003723, GO:0001947, GO:0006364, GO:0009303, "
"znf462"	"GO:0003676, GO:0005634, GO:0045944, GO:0010468, GO:0035097, GO:0000979"
"atp1b3"	"GO:0005890, GO:0006814, GO:0006813, GO:0016020, GO:0016021, GO:0006811, GO:1990573, GO:0006883, GO:0001671, GO:0005391, GO:0010248, GO:0030007, GO:0036376, GO:0032781, GO:0005890, GO:0006814, GO:0006813, GO:0016020, GO:0016021, GO:0006811, GO:1990573, GO:0006883, GO:0001671, GO:0005391, GO:0010248, GO:0030007, GO:0036376, GO:0032781"
"gart"	"GO:0009058, GO:0016742, GO:0004644, GO:0006189, GO:0004641, GO:0009113, GO:0004637, GO:0046872, GO:0005524, GO:0000166, GO:0005829, GO:0016874, GO:0003824, GO:0008152, GO:0006164, GO:0046084"
"mmaa"	"GO:0005525, GO:0003924"
"sall4"	"GO:0003676, GO:0005634, GO:0006355, GO:0003682, GO:0035118, GO:0045743"
"atp1b2"	"GO:0005890, GO:0006814, GO:0006813, GO:0016020, GO:0016021, GO:0006811, GO:1990573, GO:0006883, GO:0001671, GO:0005391, GO:0010248, GO:0030007, GO:0036376, GO:0032781, GO:0005890, GO:0006814, GO:0006813, GO:0016020, GO:0016021, GO:0006811, GO:1990573, GO:0006883, GO:0001671, GO:0005391, GO:0010248, GO:0030007, GO:0036376, GO:0032781"
"tmem38b"	"GO:0015672, GO:0005261, GO:0016020, GO:0016021, GO:0006811, GO:0005783, GO:0005789, GO:0005267, GO:0006813, GO:0071805"
"nccrp1"	""
"adgrf3"	"GO:0007166, GO:0004888, GO:0016020, GO:0016021, GO:0007186, GO:0004930, GO:0007165, GO:0016021, GO:0007186, GO:0004930, GO:0016020"
"sall1"	"GO:0003676, GO:0005634, GO:0006355"
"smad1"	"GO:0007179, GO:0005667, GO:0003700, GO:0006355, GO:0005622, GO:0005515, GO:0003677, GO:0005634, GO:0005737, GO:0030509, GO:0009880"
"mgc147231"	"GO:0016020, GO:0016021, GO:0005615, GO:0002377, GO:0006955"
"akirin1"	"GO:0005634, "
"klhl28"	"GO:0005515"
"atp9a"	"GO:0005802, GO:0005768, GO:0004012, GO:0000166, GO:0015914, GO:0005524, GO:0000287, GO:0016021, GO:0016020, GO:0005886, GO:0045332, GO:0006897, GO:0006890"
"sra1"	"GO:0030374, GO:0006357, GO:0005634, GO:1903508"
"lrfn1"	"GO:0005515, GO:0016020, GO:0016021"
"fktn"	"GO:0016020, GO:0016021, GO:0001570, GO:0048747, GO:0060049"
"cyld"	"GO:0006511, GO:0016579, GO:0036459, GO:0005829, GO:0004843, GO:0070536, GO:0007346, GO:0032088, GO:0061578, GO:0021551, GO:0070266, GO:1904888, GO:1990108, GO:2001238, GO:2001242, GO:0006511, GO:0036459"
"gmfg"	"GO:0034316, GO:0071933, GO:0003779, GO:0005622"
"perp"	"GO:0016020, GO:0016021, GO:0030054, GO:0016020, GO:0016021, GO:0030054"
"c14orf28"	""
"bsn"	"GO:0048786, GO:0007416, GO:0045202, GO:0046872"
"ift80"	"GO:0005515, GO:0005813, GO:0005929, GO:0030992, GO:0031514, GO:0008104, GO:0060026, GO:0060042, GO:0060271, GO:0005515, GO:0005813, GO:0005929, GO:0030992"
"prpf39.1"	"GO:0006396, GO:0005515, GO:0005685, GO:0071004, GO:0030627, GO:0000395, GO:0000243, GO:0006396, GO:0005515, GO:0005685, GO:0071004, GO:0030627, GO:0000395, GO:0000243"
"emb"	"GO:0016020, GO:0016021, GO:0005886, GO:0030424, GO:0007411, GO:0098632, GO:0007156, GO:0070593"
"tp53"	"GO:0044212, GO:0051262, GO:0006915, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0005515, GO:0046872, GO:0007049, GO:0005737, GO:0044212, GO:0051262, GO:0006915, GO:0003700, GO:0006355, GO:0005634, GO:0003677, GO:0005515, GO:0046872, GO:0007049, GO:0005737"
"cenps"	"GO:0071821, GO:0046982, GO:0006281, GO:0003682, GO:0003690, GO:0000776, GO:0043240, GO:0031297, GO:0000712, GO:0051382"
"lhfpl4"	"GO:0016020, GO:0016021"
"rbks"	"GO:0006014, GO:0004747, GO:0016301, GO:0016773, GO:0005634, GO:0046872, GO:0016740, GO:0005737, GO:0000166, GO:0005524, GO:0016310, GO:0005975, GO:0019303, GO:0046835"
"pgd"	"GO:0050661, GO:0006098, GO:0004616, GO:0016491, GO:0055114, GO:0019521"
"grk7"	"GO:0004703, GO:0007165, GO:0005524, GO:0004674, GO:0004672, GO:0006468, GO:0016740, GO:0000166, GO:0016301, GO:0016310"
"h2afz"	"GO:0000786, GO:0046982, GO:0005634, GO:0003677, GO:0005694, GO:0000786, GO:0046982, GO:0005634, GO:0003677, GO:0005694"
"ankrd13b"	"GO:0005515, GO:0005515"
"hcn1"	"GO:0071805, GO:0035725, GO:0030552, GO:0005887, GO:0005249, GO:0055085, GO:0005216, GO:0006811, GO:0016020, GO:0006813, GO:0016021, GO:0005244, GO:0034765, GO:0005267, GO:0007270, GO:0035677"
"c1qtnf2"	"GO:0005515, GO:0005576, GO:0005581"
"pnrc2"	"GO:0000184, GO:0005634, GO:0000932, GO:0005737, GO:0000956"
"slu7"	"GO:0030628, GO:0000386, GO:0000398, GO:0005681, GO:0030628, GO:0000386, GO:0000398, GO:0005681"
"mtmr14"	"GO:0004438, GO:0004725, GO:0016311, GO:0035335, GO:0005623, GO:0010506, GO:0043009, GO:0046716, GO:0050881, GO:0004438, GO:0004725, GO:0016311, GO:0035335"
"scn2a"	"GO:0001518, GO:0005248, GO:0055085, GO:0005216, GO:0006811, GO:0006814, GO:0016020, GO:0016021, GO:0005886, GO:0030424, GO:0035725, GO:0019228, GO:0086010"
"srsf10"	"GO:0043484, GO:0003676, GO:0005634, GO:0003723, GO:0016607, GO:0000395, GO:0000381, GO:0045292"
"dag1"	"GO:0016010, GO:0007016, GO:0005509, GO:0016020, GO:0016021, GO:0043236, GO:0007519, GO:0007525, GO:0016203, GO:0033292, GO:0043113, GO:0048741, GO:0048747, GO:0042383"
"slc4a1ap"	"GO:0005515, GO:0003729"
"ncapg2"	"GO:0005634"
"usp4"	"GO:0004843, GO:0006511, GO:0016579, GO:0036459"
"myom3"	"GO:0005515, GO:0051015, GO:0006936, GO:0005865, GO:0030018, GO:0030017, GO:0008307, GO:0051371, GO:0030240, GO:0030241, GO:0045214, GO:0048739, GO:0055003, GO:0055008, GO:0071688, GO:0031430"
"fsd1l"	"GO:0005622, GO:0005515"
"mrps30"	"GO:0005840, GO:0006412, GO:0005739, GO:0003735, GO:0016020, GO:0016021, GO:0005762, GO:0005840, GO:0006412, GO:0005739, GO:0003735, GO:0005762"
"dyrk2"	"GO:0005524, GO:0004672, GO:0006468"
"cand1"	"GO:0010265, GO:0005634, GO:0016567, GO:0010265, GO:0005634, GO:0016567"
"ndufa8"	"GO:0006120, GO:0005747, GO:0016020, GO:0055114, GO:0005739, GO:0005743, GO:0070469"
"extl3"	"GO:0016757, GO:0006486, GO:0016021, GO:0016020, GO:0015012, GO:0030516, GO:0031290, GO:0033339, GO:0033564, GO:0035118, GO:0035138, GO:0045743, GO:0048538, GO:0050650"
"rnf7"	"GO:0008270, GO:0005634, GO:0006511, GO:0061630, GO:0016567, GO:0097602, GO:0045116, GO:0031146, GO:0031461, GO:0080008, GO:0031462, GO:0031463, GO:0019788, GO:0031466, GO:0031467, GO:0043224"
"b3gnt7"	"GO:0008378, GO:0006486, GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0005794, GO:0005783, GO:0000139, GO:0008376, GO:0008532, GO:0030311, GO:0008378, GO:0006486, GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0005794, GO:0000139"
"kif1b"	"GO:0008017, GO:0003777, GO:0007018, GO:0005524, GO:0005515, GO:0000166, GO:0030424, GO:0030425, GO:0031410, GO:0043005, GO:0016887, GO:0005874, GO:0016192, GO:0003774, GO:0008574, GO:0030705, GO:0005871, GO:0008298, GO:0030099, GO:0030225, GO:0048675, GO:0048917, GO:0048918, GO:1990535"
